gid,nom_dept,nom_com,nom_station,code_station,typologie,influence,mois,annee,X,Y,no2,pm10,s02,ozone
42,PUY-DE-DOME,Clermont-Ferrand,Montferrand,FR07004,urban,Fond,9,2018,3.113828888,45.79729717,19.1,,,61.4
43,PUY-DE-DOME,Clermont-Ferrand,Jardin Lecoq,FR07009,urban,Fond,9,2018,3.087501101,45.77219697,18.4,14.5,,65.9
34,ISERE,Saint-Martin-d'H?Ÿ??res,St Martin dHeres,FR15038,urban,Fond,9,2018,5.75310114,45.18279644,21.6,18.2,,55.9
3,ISERE,Grenoble,Grenoble Les Frenes,FR15043,urban,Fond,9,2018,5.735603366,45.16187407,15.3,17.7,0.2,63.4
6,RHONE,Lyon,GERLAND,FR20017,urban,Fond,9,2018,4.829800054,45.73532325,40.7,18.7,,50.4
7,RHONE,Ternay,TERNAY,FR20037,suburban,Fond,9,2018,4.802195719,45.60192128,21.8,19.8,,62.6
8,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,9,2018,4.924700509,45.77887089,20.8,17.7,,55.5
9,AIN,Miribel,COTIERE AIN,FR20047,suburban,Fond,9,2018,4.953959787,45.82322611,7.6,14.2,,67.4
10,RHONE,Pusignan,SAINT EXUPERY,FR20048,suburban,Fond,9,2018,5.070377771,45.75485265,11.5,14.2,,78.8
12,RHONE,Lyon,LYON Centre,FR20062,urban,Fond,9,2018,4.853725888,45.75799123,29.1,20.9,,60.2
37,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,9,2018,4.805142184,45.36778213,26.5,20.4,,58.6
40,LOIRE,Roanne,ROANNE,FR29423,urban,Fond,9,2018,4.074653898,46.04106794,19.4,11.4,,62.8
16,LOIRE,Saint-?Ÿƒ?øtienne,SAINT ETIENNE SUD,FR29424,urban,Fond,9,2018,4.395419639,45.4201064,16.4,14.5,,65.2
17,LOIRE,Saint-Chamond,SAINT-CHAMOND,FR29426,urban,Fond,9,2018,4.514999613,45.47529369,25.9,13,,57.4
19,SAVOIE,Chamb?Ÿ??ry,PASTEUR,FR33101,urban,Fond,9,2018,5.928435518,45.56462103,18.9,13.1,,60.8
20,SAVOIE,Chamb?Ÿ??ry,CHAMBERY LE HAUT,FR33102,urban,Fond,9,2018,5.918616424,45.59668502,11.7,13.1,,69.8
36,SAVOIE,Saint-Jean-de-Maurienne,SAINT JEAN,FR33111,urban,Fond,9,2018,6.349723082,45.27471893,7.2,16.2,5.6,60.7
21,HAUTE-SAVOIE,Chamonix-Mont-Blanc,CHAMONIX,FR33120,urban,Fond,9,2018,6.869996699,45.92253686,16.5,15.4,,45.8
23,HAUTE-SAVOIE,Annecy,LOVERCHY,FR33201,urban,Fond,9,2018,6.118449775,45.89538066,24.1,19.6,,59.4
25,HAUTE-SAVOIE,Annemasse,ANNEMASSE,FR33211,urban,Fond,9,2018,6.240562703,46.19584661,14.8,16.8,,66.5
27,HAUTE-SAVOIE,Passy,PASSY,FR33220,suburban,Fond,9,2018,6.713642902,45.9235436,10.3,22.6,,60.1
28,HAUTE-SAVOIE,Saint-Germain-sur-Rh?Ÿ??ne,St Germain/Rh?Ÿ??ne,FR33302,rural-nearcity,Fond,9,2018,5.820837783,46.07223918,4.7,12.1,-0.2,77.7
31,DROME,Valence,Valence Urb. Centre,FR36002,urban,Fond,9,2018,4.893674494,44.93318986,18,16.5,,69.3
