gid,nom_dept,nom_com,nom_station,code_station,typologie,influence,mois,annee,X,Y,no2,pm10,s02,ozone
42,PUY-DE-DOME,Clermont-Ferrand,Montferrand,FR07004,urban,Fond,10,2018,3.113828888,45.79729717,22.4,,,44.1
43,PUY-DE-DOME,Clermont-Ferrand,Jardin Lecoq,FR07009,urban,Fond,10,2018,3.087501101,45.77219697,21.9,18.1,,48.3
4,ISERE,Saint-Martin-d'H?Ÿ??res,St Martin dHeres,FR15038,urban,Fond,10,2018,5.75310114,45.18279644,25.8,20.8,,25.8
5,ISERE,Grenoble,Grenoble Les Frenes,FR15043,urban,Fond,10,2018,5.735603366,45.16187407,22.3,18.6,0.8,30.6
36,RHONE,Lyon,GERLAND,FR20017,urban,Fond,10,2018,4.829800054,45.73532325,35.9,21.7,,34.7
7,RHONE,Ternay,TERNAY,FR20037,suburban,Fond,10,2018,4.802195719,45.60192128,21,23.1,,42.9
39,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,10,2018,4.924700509,45.77887089,14.5,20.5,,38.3
10,AIN,Miribel,COTIERE AIN,FR20047,suburban,Fond,10,2018,4.953959787,45.82322611,7.7,16.5,,43.3
11,RHONE,Pusignan,SAINT EXUPERY,FR20048,suburban,Fond,10,2018,5.070377771,45.75485265,11.7,16.6,,56
37,RHONE,Lyon,LYON Centre,FR20062,urban,Fond,10,2018,4.853725888,45.75799123,25.9,22.5,,42.1
13,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,10,2018,4.805142184,45.36778213,24.2,18.8,,41.9
16,LOIRE,Roanne,ROANNE,FR29423,urban,Fond,10,2018,4.074653898,46.04106794,19.8,14.6,,47.2
17,LOIRE,Saint-?Ÿƒ?øtienne,SAINT ETIENNE SUD,FR29424,urban,Fond,10,2018,4.395419639,45.4201064,20.6,17.9,,48
18,LOIRE,Saint-Chamond,SAINT-CHAMOND,FR29426,urban,Fond,10,2018,4.514999613,45.47529369,27.4,17.7,,39.3
20,SAVOIE,Chamb?Ÿ??ry,PASTEUR,FR33101,urban,Fond,10,2018,5.928435518,45.56462103,26.1,17.7,,31.5
21,SAVOIE,Chamb?Ÿ??ry,CHAMBERY LE HAUT,FR33102,urban,Fond,10,2018,5.918616424,45.59668502,19.5,15.4,,41
22,SAVOIE,Saint-Jean-de-Maurienne,SAINT JEAN,FR33111,urban,Fond,10,2018,6.349723082,45.27471893,12.1,16.8,7.1,45.3
23,HAUTE-SAVOIE,Chamonix-Mont-Blanc,CHAMONIX,FR33120,urban,Fond,10,2018,6.869996699,45.92253686,22,17.6,,34
25,HAUTE-SAVOIE,Annecy,LOVERCHY,FR33201,urban,Fond,10,2018,6.118449775,45.89538066,28.6,25,,28.5
27,HAUTE-SAVOIE,Annemasse,ANNEMASSE,FR33211,urban,Fond,10,2018,6.240562703,46.19584661,25.6,22.2,,35.7
29,HAUTE-SAVOIE,Passy,PASSY,FR33220,suburban,Fond,10,2018,6.713642902,45.9235436,17.4,23.4,,33.9
30,HAUTE-SAVOIE,Saint-Germain-sur-Rh?Ÿ??ne,St Germain/Rh?Ÿ??ne,FR33302,rural-nearcity,Fond,10,2018,5.820837783,46.07223918,7.5,14.1,0.3,51.7
33,DROME,Valence,Valence Urb. Centre,FR36002,urban,Fond,10,2018,4.893674494,44.93318986,20.1,17.9,,46.6
