gid,nom_dept,nom_com,nom_station,code_station,typologie,influence,mois,annee,X,Y,no2,pm10,s02,ozone
48,PUY-DE-DOME,Clermont-Ferrand,Montferrand,FR07004,urban,Fond,12,2017,3.113828888,45.79729717,21.5,,,39.4
36,PUY-DE-DOME,Clermont-Ferrand,Jardin Lecoq,FR07009,urban,Fond,12,2017,3.087501101,45.77219697,26.6,11.1,,40.7
107,ISERE,Saint-Martin-d'H?Ÿ??res,St Martin dHeres,FR15038,urban,Fond,12,2017,5.75310114,45.18279644,28.8,11.025,,14.25
5,ISERE,Grenoble,Grenoble Les Frenes,FR15043,urban,Fond,12,2017,5.735603366,45.16187407,31.5,19.6,1.5,26.6
8,RHONE,Lyon,GERLAND,FR20017,urban,Fond,12,2017,4.829800054,45.73532325,30.7,15,,32.1
9,RHONE,Ternay,TERNAY,FR20037,suburban,Fond,12,2017,4.802195719,45.60192128,21.2,16,,33.6
10,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,12,2017,4.924700509,45.77887089,22.2,15.1,,27.8
11,AIN,Miribel,COTIERE AIN,FR20047,suburban,Fond,12,2017,4.953959787,45.82322611,14.9,15,,34
12,RHONE,Pusignan,SAINT EXUPERY,FR20048,suburban,Fond,12,2017,5.070377771,45.75485265,16.9,13.1,,38.5
14,RHONE,Lyon,LYON Centre,FR20062,urban,Fond,12,2017,4.853725888,45.75799123,30,15.6,,24
15,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,12,2017,4.805142184,45.36778213,25.5,18.5,,33.1
50,LOIRE,Roanne,ROANNE,FR29423,urban,Fond,12,2017,4.074653898,46.04106794,20.8,10.6,,37.3
20,LOIRE,Saint-?Ÿƒ?øtienne,SAINT ETIENNE SUD,FR29424,urban,Fond,12,2017,4.395419639,45.4201064,22.2,8.9,,37.2
21,LOIRE,Saint-Chamond,SAINT-CHAMOND,FR29426,urban,Fond,12,2017,4.514999613,45.47529369,32.2,13.8,,27.6
23,SAVOIE,Chamb?Ÿ??ry,PASTEUR,FR33101,urban,Fond,12,2017,5.928435518,45.56462103,33,17.3,,23.9
113,SAVOIE,Chamb?Ÿ??ry,CHAMBERY LE HAUT,FR33102,urban,Fond,12,2017,5.918616424,45.59668502,26.8,18.1,,56.3
24,SAVOIE,Saint-Jean-de-Maurienne,SAINT JEAN,FR33111,urban,Fond,12,2017,6.349723082,45.27471893,31.5,14.6,10.3,24.2
25,HAUTE-SAVOIE,Chamonix-Mont-Blanc,CHAMONIX,FR33120,urban,Fond,12,2017,6.869996699,45.92253686,46.8,21.4,,20
27,HAUTE-SAVOIE,Annecy,LOVERCHY,FR33201,urban,Fond,12,2017,6.118449775,45.89538066,30.3,19.8,,22.7
29,HAUTE-SAVOIE,Annemasse,ANNEMASSE,FR33211,urban,Fond,12,2017,6.240562703,46.19584661,28.6,15.3,,28.1
30,HAUTE-SAVOIE,Passy,PASSY,FR33220,suburban,Fond,12,2017,6.713642902,45.9235436,32.6,29.4,,23.9
51,HAUTE-SAVOIE,Saint-Germain-sur-Rh?Ÿ??ne,St Germain/Rh?Ÿ??ne,FR33302,rural-nearcity,Fond,12,2017,5.820837783,46.07223918,12.9,14,0.7,44.6
32,DROME,Valence,Valence Urb. Centre,FR36002,urban,Fond,12,2017,4.893674494,44.93318986,26.9,15.1,,29.9
