gid,nom_dept,nom_com,nom_station,code_station,typologie,influence,mois,annee,X,Y,no2,pm10,s02,ozone
5,ISERE,Grenoble,Grenoble Les Frenes,FR15043,urban,Fond,3,2018,5.735603366,45.16187407,23.4,14.1,0.6,43.1
87,ISERE,Grenoble,Grenoble Les Frenes,FR15043,urban,Fond,4,2018,5.735603366,45.16187407,14.6,17,-0.2,47.6
5,ISERE,Grenoble,Grenoble Les Frenes,FR15043,urban,Fond,5,2018,5.735603366,45.16187407,11.6,14.1,-0.9,52.1
85,ISERE,Grenoble,Grenoble Les Frenes,FR15043,urban,Fond,6,2018,5.735603366,45.16187407,9.9,14.8,-1,59.83333333
86,ISERE,Grenoble,Grenoble Les Frenes,FR15043,urban,Fond,7,2018,5.735603366,45.16187407,12.4,17.5,0.2,67.56666667
24,ISERE,Grenoble,Grenoble Les Frenes,FR15043,urban,Fond,8,2018,5.735603366,45.16187407,11.9,14.7,0.2,75.3
3,ISERE,Grenoble,Grenoble Les Frenes,FR15043,urban,Fond,9,2018,5.735603366,45.16187407,15.3,17.7,0.2,63.4
5,ISERE,Grenoble,Grenoble Les Frenes,FR15043,urban,Fond,10,2018,5.735603366,45.16187407,22.3,18.6,0.8,30.6
86,ISERE,Grenoble,Grenoble Les Frenes,FR15043,urban,Fond,11,2018,5.735603366,45.16187407,25.8,19.5,1.5,21.55
5,ISERE,Grenoble,Grenoble Les Frenes,FR15043,urban,Fond,12,2018,5.735603366,45.16187407,30.8,20,1.5,12.5
8,RHONE,Lyon,GERLAND,FR20017,urban,Fond,12,2017,4.829800054,45.73532325,30.7,15,,32.1
7,RHONE,Lyon,GERLAND,FR20017,urban,Fond,1,2018,4.829800054,45.73532325,32.9,14.7,,30.7
8,RHONE,Lyon,GERLAND,FR20017,urban,Fond,2,2018,4.829800054,45.73532325,34.3,23,,31.5
8,RHONE,Lyon,GERLAND,FR20017,urban,Fond,3,2018,4.829800054,45.73532325,31.9,15.6,,46.6
6,RHONE,Lyon,GERLAND,FR20017,urban,Fond,4,2018,4.829800054,45.73532325,25.7,16,,66.7
8,RHONE,Lyon,GERLAND,FR20017,urban,Fond,5,2018,4.829800054,45.73532325,17.3,18.3,,64.2
6,RHONE,Lyon,GERLAND,FR20017,urban,Fond,6,2018,4.829800054,45.73532325,14.8,16.1,,64.2
