gid,nom_dept,nom_com,nom_station,code_station,typologie,influence,mois,annee,X,Y,no2,pm10,s02,ozone
39,PUY-DE-DOME,Clermont-Ferrand,Montferrand,FR07004,urban,Fond,3,2018,3.113828888,45.79729717,17.3,,,62.8
40,PUY-DE-DOME,Clermont-Ferrand,Jardin Lecoq,FR07009,urban,Fond,3,2018,3.087501101,45.77219697,19,8.7,,66.9
4,ISERE,Saint-Martin-d'H?Ÿ??res,St Martin dHeres,FR15038,urban,Fond,3,2018,5.75310114,45.18279644,24.1,15.2,,45
5,ISERE,Grenoble,Grenoble Les Frenes,FR15043,urban,Fond,3,2018,5.735603366,45.16187407,23.4,14.1,0.6,43.1
8,RHONE,Lyon,GERLAND,FR20017,urban,Fond,3,2018,4.829800054,45.73532325,31.9,15.6,,46.6
9,RHONE,Ternay,TERNAY,FR20037,suburban,Fond,3,2018,4.802195719,45.60192128,20.8,15.8,,54.7
10,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,3,2018,4.924700509,45.77887089,21.5,14.3,,50
11,AIN,Miribel,COTIERE AIN,FR20047,suburban,Fond,3,2018,4.953959787,45.82322611,25.8,10.5,,57.4
80,RHONE,Pusignan,SAINT EXUPERY,FR20048,suburban,Fond,3,2018,5.070377771,45.75485265,16.7,13.6,,61.65
13,RHONE,Lyon,LYON Centre,FR20062,urban,Fond,3,2018,4.853725888,45.75799123,29.5,15.8,,52.1
15,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,3,2018,4.805142184,45.36778213,23.9,19.2,,49.9
20,LOIRE,Roanne,ROANNE,FR29423,urban,Fond,3,2018,4.074653898,46.04106794,20.2,10.5,,58.4
21,LOIRE,Saint-?Ÿƒ?øtienne,SAINT ETIENNE SUD,FR29424,urban,Fond,3,2018,4.395419639,45.4201064,19.7,8.7,,60.1
22,LOIRE,Saint-Chamond,SAINT-CHAMOND,FR29426,urban,Fond,3,2018,4.514999613,45.47529369,26.8,9.6,,51
24,SAVOIE,Chamb?Ÿ??ry,PASTEUR,FR33101,urban,Fond,3,2018,5.928435518,45.56462103,27.7,13.4,,43.5
25,SAVOIE,Chamb?Ÿ??ry,CHAMBERY LE HAUT,FR33102,urban,Fond,3,2018,5.918616424,45.59668502,16.4,12.8,,56.3
26,SAVOIE,Saint-Jean-de-Maurienne,SAINT JEAN,FR33111,urban,Fond,3,2018,6.349723082,45.27471893,13.5,10.3,6.7,57.4
27,HAUTE-SAVOIE,Chamonix-Mont-Blanc,CHAMONIX,FR33120,urban,Fond,3,2018,6.869996699,45.92253686,29.1,14,,54.9
29,HAUTE-SAVOIE,Annecy,LOVERCHY,FR33201,urban,Fond,3,2018,6.118449775,45.89538066,32.2,20.2,,39.4
31,HAUTE-SAVOIE,Annemasse,ANNEMASSE,FR33211,urban,Fond,3,2018,6.240562703,46.19584661,30.1,17.7,,45.2
56,HAUTE-SAVOIE,Passy,PASSY,FR33220,suburban,Fond,3,2018,6.713642902,45.9235436,22.7,23.1,,45.8
33,HAUTE-SAVOIE,Saint-Germain-sur-Rh?Ÿ??ne,St Germain/Rh?Ÿ??ne,FR33302,rural-nearcity,Fond,3,2018,5.820837783,46.07223918,10.6,13.4,1,61.6
36,DROME,Valence,Valence Urb. Centre,FR36002,urban,Fond,3,2018,4.893674494,44.93318986,24.2,12.7,,52.1
