,id_bdqa,nom_site,typologie,influence,adresse,so2_nb_d_3,so2_nb_j_s,no2_nb_h_s,no2_moy_an,nox_moy_an,pm10_moy_a,pm10_nb_j_,pm2_5_moy_,o3_nb_j_ma,o3_aot40,co_nb_moy_,c6h6_moy_a,pb_moy_an,as_moy_an,cd_moy_an,ni_moy_an,bap_moy_an,X,Y
0,7001,Royat,périurbaine,fond,"8 Avenue Louis Pasteur, 63130 ROYAT",,,0,12,18,,,,3,7686,,,,,,,,3.047192684,45.76466592
1,7004,Montferrand,urbaine,fond,"Rue Gustave Courbet, 63000 CLERMONT-FERRAND",,,0,24,40,20,11,13,7,10198,,,,,,,,3.113828851,45.79727916
2,7009,Clermont - Jardin Lecoq,urbaine,fond,"Jardin Lecoq, 63000 CLERMONT-FERRAND",,,0,23,40,21,8,,2,6647,,,,,,,,3.087501058,45.77216995
3,7010,Montluçon - Centre,proximité trafic,trafic,"Place Louis Bavay, 03100 MONTLUCON",,,0,22,45,19,3,,,,,,,,,,,2.598136589,46.34371922
4,7011,Aurillac - Centre,proximité trafic,trafic,"95 Avenue de la République, 15000 AURILLAC",,,0,33,,18,2,,,,,,,,,,,2.436638464,44.92322084
5,7012,Le Puy en velais - Centre,urbaine,fond,"Ecole Jules Ferry, 43000 LE PUY EN VELAY",,,0,16,,,,,0,2732,,,,,,,,3.882671542,45.04471809
6,7013,Montlucon Château,urbaine,fond,"Esplanade du château, 03100 MONTLUCON",,,0,13,18,,,,11,8351,,,,,,,,2.604586073,46.34008581
7,7014,Aurillac - Aérodrome,périurbaine,fond,"Aérodrome, 15000 AURILLAC",,,,,,,,,2,8260,,,,,,,,2.420192153,44.89833092
8,7015,Sommet du Puy de Dôme,rurale régionale,fond,"Sommet Puy de Dôme, 63870 ORCINES",,,,,,,,,33,14555,,,,,,,,2.964587812,45.77217131
9,7016,Montlucon - Hippodrome,urbaine,fond,"Hippodrome, 03100 MONTLUCON",,,,,,,,,9,7920,,,,,,,,2.601308937,46.32413584
10,7017,Aurillac - Mairie,urbaine,fond,"Mairie 14 rue de la Coste, 15000 AURILLAC",,,0,10,,,,,2,9505,,,,,,,,2.445163491,44.93133111
11,7018,Vals-près-le-Puy,périurbaine,fond,"Mairie, 43750 VALS PRES LE PUY",,,,,,,,,0,5305,,,,,,,,3.876079536,45.03011099
12,7020,Busset,rurale régionale,fond,"Ecole, 03270 BUSSET",,,,,,,,,2,5975,,,,,,,,3.515136781,46.06028108
13,7022,Paray-le-Fresil,rurale régionale,fond,"Stade, 03230 PARAY LE FRESIL",,,,,,,,,8,8395,,,,,,,,3.600672372,46.65266263
14,7028,Les Ancizes,proximité industrielle,industrielle,"Allée du collège, 63770 LES ANCIZES",,,,,,14,1,,,,,,,,,,,2.829801258,45.92969792
15,7029,Sembadel,rurale régionale,fond,"Mairie, 43160 SEMBADEL",,,,,,,,,5,9428,,,,,,,,3.68791781,45.27472323
16,7031,Rageade,rurale régionale,fond,"Mairie, 15500 RAGEADE",,,,,,,,,6,10453,,,,,,,,3.277361319,45.10472135
17,7032,Riom,urbaine,fond,"Rue de l'intendance d'Auvergne, 63200 RIOM",,,0,18,26,,,,5,7692,,,,,,,,3.115060644,45.89419792
18,7034,Clermont - Esplanade de la gare,proximité trafic,trafic,"Esplanade de la gare, 63000 CLERMONT-FERRAND",,,2,40,89,22,13,14,,,,,,,,,,3.096244436,45.77569276
19,7038,Issoire (palais),urbaine,fond,"Rue du Palais, 63500 ISSOIRE",,,0,16,,,,,4,7360,,,,,,,,3.24827836,45.54453097
20,7039,Chamalières,proximité trafic,trafic,"Avenue de Fontmaure,63400 CHAMALIERES",,,1,35,78,20,9,,,,,,,,,,,3.062977994,45.77477972
21,7042,Autoroute A71,proximité trafic,trafic,Bordure Autoroute A71 PR 387.5 sens Clermont-Bourg,,,3,52,122,23,16,,,,,,,,,,,3.142720876,45.78369393
22,15001,Pays voironnais,rurale régionale,fond,Le bourg Terrain de boules 38850 CHARAVINES,,,0,9,11,,,,23,16528,,,,,,,,5.517961114,45.42761776
23,15013,Sud grenoblois / Champ sur Drac,périurbaine,fond,École des Gonnardières 24 chemin des Gonnardières 38560 CHAMP-SUR-DRAC,0,0,0,18,28,,,,21,14241,,,,,,,,5.728653983,45.07959915
24,15017,Fontaine les Balmes,urbaine,fond,31 bis Avenue Lénine  38600 FONTAINE,,,0,22,35,25,10,,9,8899,,,,,,,,5.686971398,45.19049841
25,15018,Voiron Urbain,urbaine,fond,Rue de Maubec  38500 VOIRON,,,0,19,29,23,6,,13,12486,,,,,,,,5.589443331,45.36001372
26,15031,Ecrins,rurale nationale,fond,Le Serre du Cuc Le Casset  05220 LE-MONETIER-LES-BAINS,,,,,,,,,20,23997,,,,,,,,6.469503038,44.99809555
27,15038,Saint-Martin d'Heres,urbaine,fond,Parc Daniel Casanova Avenue Benoît Frachon 38400 SAINT-MARTIN-D'HERES,0,0,0,26,47,26,21,,8,11231,,,,,,,,5.753252647,45.18302696
28,15039,Grenoble Rocade Sud,proximité trafic,trafic,Face au  23 - Chemin du Tremblay  38130 ECHIROLLES,,,0,51,130,33,43,23,,,0,,,,,,,5.703764952,45.15842477
29,15043,Grenoble les Frenes,urbaine,fond,Ecole Maternelle Les Frênes 1 allée de la Pelouse 38100 GRENOBLE,0,0,0,21,35,26,17,18,,,,,8.4,0.6,0.2,5,,5.735824383,45.16170648
30,15045,Sud grenoblois / Vif,périurbaine,fond,Allée traversière  38450 VIF,,,0,15,20,24,12,,19,15131,,,,,,,,5.676897768,45.05803473
31,15046,Grenoble Grands Boulevards,proximité trafic,trafic,48-50 Boulevard Foch  38000 GRENOBLE,,,,,,,,,,,0,,,,,,,5.720630177,45.18075469
32,15048,Est grenoblois / Grésivaudan,périurbaine,fond,Rue Léo Lagrange  38190 CROLLES,,,0,18,30,24,12,,14,10457,,,,,,,,5.882398642,45.27996926
33,20003,Lyon Rue Garibaldi,proximité trafic,trafic,D . E  .U 35 Rue Bossuet / Rue Garibaldi 69006 LYON,,,8,63,134,,,,,,0,,,,,,,4.850516305,45.76820424
34,20004,Lyon Saint-Just,urbaine,fond,Ecole Mathilde Siraud 5 Place Abbé Larue 69005 LYON,0,0,0,30,47,,,,12,10051,,,,,,,,4.820337324,45.75537349
35,20013,A7 Sud lyonnais,proximité trafic,trafic,Face au 25 ter - Quai Pierre Sémard  (au bord de l'A7)  69350 LA MULATIERE,,,66,77,217,39,69,24,,,0,,,,,,,4.818159756,45.72008214
36,20017,Lyon Gerland,urbaine,fond,Groupe Scolaire Claudius Berthelier 181 Rue Marcel Mérieux 69007 LYON,0,0,3,33,59,25,23,,3,7161,,,,,,,,4.829800947,45.73535025
37,20019,Villeurbanne Place Grandclément,proximité trafic,trafic,Maison Berthy Albrecht 14 Place Jules Grand Clément 69100 VILLEURBANNE,,,8,41,84,26,20,,,,,,,,,,,4.8862195,45.75841628
38,20029,Sud lyonnais / Feyzin ZI,proximité industrielle,industrielle,Stade Municipal Jean Bouin Rue de la Tuillière 69320 FEYZIN,0,0,0,29,50,26,24,,,,,,,,,,,4.845836121,45.6639401
39,20031,Sud lyonnais / Saint-Fons,proximité industrielle,industrielle,Stade municipal Carnot 64 Rue Carnot 69190 SAINT-FONS,0,0,0,29,54,24,18,,,,,,,,,,,4.864488928,45.70780483
40,20034,Sud lyonnais / Pierre-Bénite,proximité industrielle,industrielle,Groupe Scolaire des Cerisiers Impasse Robert d'Aversa 69310 PIERRE-BENITE,0,0,,,,,,,,,,,,,,,,4.829697995,45.69959302
41,20037,Sud lyonnais / Ternay,périurbaine,fond,Salle Omnisports du Dévès Chemin du Dévès Ouest 69360 TERNAY,,,0,25,40,23,15,,7,7512,,,,,,,,4.802542285,45.60192473
42,20045,Est lyonnais / Genas,périurbaine,fond,"DDE ""Les Grandes Terres"" - Porte du Dauphiné  69740 GENAS",,,0,30,64,25,15,,,,,,,,,,,4.98054663,45.73188396
43,20046,Est lyonnais / Vaulx en Velin,urbaine,fond,ENTPE 3 Rue Maurice Audin 69120 VAULX-EN-VELIN,0,0,0,24,39,,,,8,7750,,,,,,,,4.924922674,45.77896618
44,20047,Nord lyonnais / Côtière de l'Ain,périurbaine,fond,Passage de Paravis  1700 MIRIBEL,0,0,0,19,28,22,7,,7,8569,,,,,,,,4.9539617,45.82328012
45,20048,Est lyonnais / Saint Exupéry,périurbaine,fond,Complexe Sportif  Louis Durand Rue de l'Egalité 69330 PUSIGNAN,,,0,15,20,20,5,,8,5836,,,,,,,,5.072299004,45.75358327
46,20049,Haut-Beaujolais,rurale régionale,fond,Le Bourg Derrière l'église 69170 DIEME,,,0,4,5,,,,10,7112,,,,,,,,4.46571625,45.96147357
47,20060,Sud lyonnais / Vénissieux,proximité industrielle,industrielle,Groupe Scolaire du Centre 43 Boulevard Laurent Gérin 69200 VENISSIEUX,0,0,,,,,,,,,,,7.8,0.5,0.2,4.2,1.1,4.883641896,45.70393737
48,20061,Villefranche Village,urbaine,fond,330 - rue des Jardiniers  69400 VILLEFRANCHE-SUR-SAONE,0,0,0,28,50,26,18,,,,,,,,,,,4.719287515,45.98644081
49,20062,Lyon Centre,urbaine,fond,20 rue du Lac  69003 LYON,0,0,0,30,47,23,19,20,5,8007,,,8.7,0.5,0.2,5.1,,4.853725888,45.75799123
50,20063,Lyon Periphérique Est,proximité trafic,trafic,Boulevard périphérique Laurent Bonnevay  69500 BRON,,,,,,29,29,,,,,,,,,,,4.896150838,45.72832693
51,20064,Vernaison ZI,proximité industrielle,industrielle,Parking du Port Perret  69390 VERNAISON,,,,,,,,,,,,0.8,,,,,,4.816905997,45.65061161
52,20065,Lyon - Tunnel Croix-Rousse - Sortie Rhône,proximité trafic,trafic,"Ecole Michel Servet 4, rue Alsace Lorraine 69001 LYON",,,1,55,119,30,38,21,,,,,,,,,,4.836938611,45.77247945
53,20067,Lyon 8ème,urbaine,fond,24 Rue Stéphane Coignet  69008 LYON,,,,,,,,,,,,,,,,,0.6,4.875094229,45.7282468
54,20068,Villefranche Périurbain,périurbaine,fond,"604, rue de la Jacobée  1600 TREVOUX",,,0,18,27,23,10,,13,10991,,,,,,,,4.796107815,45.93629413
55,27002,Roussillon,urbaine,fond,Lycée de l'Edit 24 Avenue du Lycée 38150 ROUSSILLON,0,0,,,,23,10,,9,8833,,0.7,,,,,,4.805143352,45.36781814
56,27003,Les Roches de Condrieu ZI,proximité industrielle,industrielle,"Stade des roches ""SIGIS"" Rue de Champagnole 38370 LES ROCHES-DE-CONDRIEU",0,0,0,19,28,,,,20,14843,,,,,,,,4.76653624,45.45457482
57,27004,Vienne Centre,urbaine,fond,Place de l'Hôtel de Ville  Francois Mitterrand  38200 VIENNE,0,0,0,27,44,24,14,17,11,10857,,,,,,,,4.875411685,45.52602688
58,27005,Sud roussillonnais / Sablons,périurbaine,fond,Place du champ de Foire Le Bourg Rue du Dauphiné 38550 SABLONS,,,0,14,21,,,,22,14708,,,,,,,,4.770676158,45.32184864
