gid,nom_dept,nom_com,nom_station,code_station,typologie,influence,mois,annee,X,Y,no2,pm10,s02,ozone
39,PUY-DE-DOME,Clermont-Ferrand,Montferrand,FR07004,urban,Fond,2,2018,3.113828888,45.79729717,23.3,,,41.1
40,PUY-DE-DOME,Clermont-Ferrand,Jardin Lecoq,FR07009,urban,Fond,2,2018,3.087501101,45.77219697,26.5,16.6,,44.2
4,ISERE,Saint-Martin-d'H?Ÿ??res,St Martin dHeres,FR15038,urban,Fond,2,2018,5.75310114,45.18279644,34.1,24.5,,27.3
5,ISERE,Grenoble,Grenoble Les Frenes,FR15043,urban,Fond,2,2018,5.735603366,45.16187407,26.2,22.5,1,30.2
8,RHONE,Lyon,GERLAND,FR20017,urban,Fond,2,2018,4.829800054,45.73532325,34.3,23,,31.5
9,RHONE,Ternay,TERNAY,FR20037,suburban,Fond,2,2018,4.802195719,45.60192128,24.3,24.8,,43.1
56,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,2,2018,4.924700509,45.77887089,19.5,25,,34.3
10,AIN,Miribel,COTIERE AIN,FR20047,suburban,Fond,2,2018,4.953959787,45.82322611,17.7,22.9,,42.5
11,RHONE,Pusignan,SAINT EXUPERY,FR20048,suburban,Fond,2,2018,5.070377771,45.75485265,17.2,21.3,,35.8
13,RHONE,Lyon,LYON Centre,FR20062,urban,Fond,2,2018,4.853725888,45.75799123,25.7,23.4,,38.9
15,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,2,2018,4.805142184,45.36778213,27.6,27.7,,38.7
20,LOIRE,Roanne,ROANNE,FR29423,urban,Fond,2,2018,4.074653898,46.04106794,22.8,19.3,,40.5
21,LOIRE,Saint-?Ÿƒ?øtienne,SAINT ETIENNE SUD,FR29424,urban,Fond,2,2018,4.395419639,45.4201064,25.4,19,,38.8
22,LOIRE,Saint-Chamond,SAINT-CHAMOND,FR29426,urban,Fond,2,2018,4.514999613,45.47529369,29.9,19.7,,33.3
24,SAVOIE,Chamb?Ÿ??ry,PASTEUR,FR33101,urban,Fond,2,2018,5.928435518,45.56462103,25.9,21.6,,33.2
25,SAVOIE,Chamb?Ÿ??ry,CHAMBERY LE HAUT,FR33102,urban,Fond,2,2018,5.918616424,45.59668502,22.9,21.2,,37.6
26,SAVOIE,Saint-Jean-de-Maurienne,SAINT JEAN,FR33111,urban,Fond,2,2018,6.349723082,45.27471893,19.2,19.9,6.9,36.5
27,HAUTE-SAVOIE,Chamonix-Mont-Blanc,CHAMONIX,FR33120,urban,Fond,2,2018,6.869996699,45.92253686,34,22.2,,35.5
29,HAUTE-SAVOIE,Annecy,LOVERCHY,FR33201,urban,Fond,2,2018,6.118449775,45.89538066,28.2,26,,29.4
31,HAUTE-SAVOIE,Annemasse,ANNEMASSE,FR33211,urban,Fond,2,2018,6.240562703,46.19584661,24.1,23.1,,35
32,HAUTE-SAVOIE,Passy,PASSY,FR33220,suburban,Fond,2,2018,6.713642902,45.9235436,23.9,30,,31.6
33,HAUTE-SAVOIE,Saint-Germain-sur-Rh?Ÿ??ne,St Germain/Rh?Ÿ??ne,FR33302,rural-nearcity,Fond,2,2018,5.820837783,46.07223918,10.3,17.7,0.9,51.6
36,DROME,Valence,Valence Urb. Centre,FR36002,urban,Fond,2,2018,4.893674494,44.93318986,26.4,23.6,,37.1
