gid,nom_dept,nom_com,nom_station,code_station,typologie,influence,mois,annee,X,Y,no2,pm10,s02,ozone
39,PUY-DE-DOME,Clermont-Ferrand,Montferrand,FR07004,urban,Fond,11,2018,3.113828888,45.79729717,24.1,,,30.1
40,PUY-DE-DOME,Clermont-Ferrand,Jardin Lecoq,FR07009,urban,Fond,11,2018,3.087501101,45.77219697,26.7,17,,30.7
4,ISERE,Saint-Martin-d'H?Ÿ??res,St Martin dHeres,FR15038,urban,Fond,11,2018,5.75310114,45.18279644,30.5,21.9,,13.2
86,ISERE,Grenoble,Grenoble Les Frenes,FR15043,urban,Fond,11,2018,5.735603366,45.16187407,25.8,19.5,1.5,21.55
88,RHONE,Lyon,GERLAND,FR20017,urban,Fond,11,2018,4.829800054,45.73532325,37.1,19.1,,28.9
6,RHONE,Ternay,TERNAY,FR20037,suburban,Fond,11,2018,4.802195719,45.60192128,23.5,25.1,,24.9
7,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,11,2018,4.924700509,45.77887089,17.7,18.3,,22.4
8,AIN,Miribel,COTIERE AIN,FR20047,suburban,Fond,11,2018,4.953959787,45.82322611,10.5,15.3,,24
9,RHONE,Pusignan,SAINT EXUPERY,FR20048,suburban,Fond,11,2018,5.070377771,45.75485265,17.5,13.5,,38.5
10,RHONE,Lyon,LYON Centre,FR20062,urban,Fond,11,2018,4.853725888,45.75799123,33.8,22.2,,22.6
12,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,11,2018,4.805142184,45.36778213,22,19.3,,23
16,LOIRE,Roanne,ROANNE,FR29423,urban,Fond,11,2018,4.074653898,46.04106794,23.8,13.4,,30
17,LOIRE,Saint-?Ÿƒ?øtienne,SAINT ETIENNE SUD,FR29424,urban,Fond,11,2018,4.395419639,45.4201064,24.9,12.8,,32.2
18,LOIRE,Saint-Chamond,SAINT-CHAMOND,FR29426,urban,Fond,11,2018,4.514999613,45.47529369,30.2,15.9,,23.8
20,SAVOIE,Chamb?Ÿ??ry,PASTEUR,FR33101,urban,Fond,11,2018,5.928435518,45.56462103,28.1,19,,10.8
38,SAVOIE,Chamb?Ÿ??ry,CHAMBERY LE HAUT,FR33102,urban,Fond,11,2018,5.918616424,45.59668502,24.7,12.9,,15.7
21,SAVOIE,Saint-Jean-de-Maurienne,SAINT JEAN,FR33111,urban,Fond,11,2018,6.349723082,45.27471893,17.9,15.1,6,27.6
22,HAUTE-SAVOIE,Chamonix-Mont-Blanc,CHAMONIX,FR33120,urban,Fond,11,2018,6.869996699,45.92253686,25.5,15.3,,24.6
24,HAUTE-SAVOIE,Annecy,LOVERCHY,FR33201,urban,Fond,11,2018,6.118449775,45.89538066,22.6,23.9,,8.5
26,HAUTE-SAVOIE,Annemasse,ANNEMASSE,FR33211,urban,Fond,11,2018,6.240562703,46.19584661,26.8,21,,14.3
28,HAUTE-SAVOIE,Passy,PASSY,FR33220,suburban,Fond,11,2018,6.713642902,45.9235436,10.3,30.1,,10.7
29,HAUTE-SAVOIE,Saint-Germain-sur-Rh?Ÿ??ne,St Germain/Rh?Ÿ??ne,FR33302,rural-nearcity,Fond,11,2018,5.820837783,46.07223918,11.5,14.4,0.1,29.1
32,DROME,Valence,Valence Urb. Centre,FR36002,urban,Fond,11,2018,4.893674494,44.93318986,25.7,17.7,,24.4
