gid,nom_dept,nom_com,nom_station,code_station,typologie,influence,mois,annee,X,Y,no2,pm10,s02,ozone
38,PUY-DE-DOME,Clermont-Ferrand,Montferrand,FR07004,urban,Fond,8,2018,3.113828888,45.79729717,11.6,,,75.7
39,PUY-DE-DOME,Clermont-Ferrand,Jardin Lecoq,FR07009,urban,Fond,8,2018,3.087501101,45.77219697,11.5,14.7,,81.3
23,ISERE,Saint-Martin-d'H?Ÿ??res,St Martin dHeres,FR15038,urban,Fond,8,2018,5.75310114,45.18279644,13.9,14.9,,70.6
24,ISERE,Grenoble,Grenoble Les Frenes,FR15043,urban,Fond,8,2018,5.735603366,45.16187407,11.9,14.7,0.2,75.3
26,RHONE,Lyon,GERLAND,FR20017,urban,Fond,8,2018,4.829800054,45.73532325,23.1,16.2,,69.2
27,RHONE,Ternay,TERNAY,FR20037,suburban,Fond,8,2018,4.802195719,45.60192128,12.7,17.1,,79.8
5,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,8,2018,4.924700509,45.77887089,8.1,15.83333333,,76.5
28,AIN,Miribel,COTIERE AIN,FR20047,suburban,Fond,8,2018,4.953959787,45.82322611,5,10.5,,86.7
6,RHONE,Pusignan,SAINT EXUPERY,FR20048,suburban,Fond,8,2018,5.070377771,45.75485265,6.9,13.7,,89.8
7,RHONE,Lyon,LYON Centre,FR20062,urban,Fond,8,2018,4.853725888,45.75799123,14.5,15.6,,79.9
30,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,8,2018,4.805142184,45.36778213,19.7,18.3,,76.4
12,LOIRE,Roanne,ROANNE,FR29423,urban,Fond,8,2018,4.074653898,46.04106794,12.1,9.6,,74.1
13,LOIRE,Saint-?Ÿƒ?øtienne,SAINT ETIENNE SUD,FR29424,urban,Fond,8,2018,4.395419639,45.4201064,9,12.8,,80
31,LOIRE,Saint-Chamond,SAINT-CHAMOND,FR29426,urban,Fond,8,2018,4.514999613,45.47529369,16.8,11.3,,73.2
32,SAVOIE,Chamb?Ÿ??ry,PASTEUR,FR33101,urban,Fond,8,2018,5.928435518,45.56462103,11.1,10.8,,68
14,SAVOIE,Chamb?Ÿ??ry,CHAMBERY LE HAUT,FR33102,urban,Fond,8,2018,5.918616424,45.59668502,7.5,12.9,,84.3
15,SAVOIE,Saint-Jean-de-Maurienne,SAINT JEAN,FR33111,urban,Fond,8,2018,6.349723082,45.27471893,5.3,15.7,5.3,64.7
16,HAUTE-SAVOIE,Chamonix-Mont-Blanc,CHAMONIX,FR33120,urban,Fond,8,2018,6.869996699,45.92253686,15.8,13,,57.3
17,HAUTE-SAVOIE,Annecy,LOVERCHY,FR33201,urban,Fond,8,2018,6.118449775,45.89538066,13.9,14,,76.6
109,HAUTE-SAVOIE,Annemasse,ANNEMASSE,FR33211,urban,Fond,8,2018,6.240562703,46.19584661,7.8,13.7,,71.7
19,HAUTE-SAVOIE,Passy,PASSY,FR33220,suburban,Fond,8,2018,6.713642902,45.9235436,7.8,14.8,,69.1
20,HAUTE-SAVOIE,Saint-Germain-sur-Rh?Ÿ??ne,St Germain/Rh?Ÿ??ne,FR33302,rural-nearcity,Fond,8,2018,5.820837783,46.07223918,4.3,11.8,-0.1,83.6
36,DROME,Valence,Valence Urb. Centre,FR36002,urban,Fond,8,2018,4.893674494,44.93318986,12.4,14.5,,79
