gid,nom_dept,nom_com,nom_station,code_station,typologie,influence,mois,annee,X,Y,no2,pm10,s02,ozone
40,PUY-DE-DOME,Clermont-Ferrand,Montferrand,FR07004,urban,Fond,12,2018,3.113828888,45.79729717,22,,,36.7
41,PUY-DE-DOME,Clermont-Ferrand,Jardin Lecoq,FR07009,urban,Fond,12,2018,3.087501101,45.77219697,27.1,15.9,,35.5
4,ISERE,Saint-Martin-d'H?Ÿ??res,St Martin dHeres,FR15038,urban,Fond,12,2018,5.75310114,45.18279644,38.6,23.1,,10.3
5,ISERE,Grenoble,Grenoble Les Frenes,FR15043,urban,Fond,12,2018,5.735603366,45.16187407,30.8,20,1.5,12.5
9,RHONE,Lyon,GERLAND,FR20017,urban,Fond,12,2018,4.829800054,45.73532325,42.6,20.2,,23.1
10,RHONE,Ternay,TERNAY,FR20037,suburban,Fond,12,2018,4.802195719,45.60192128,24,24.6,,27.6
11,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,12,2018,4.924700509,45.77887089,25.8,19,,20.2
12,AIN,Miribel,COTIERE AIN,FR20047,suburban,Fond,12,2018,4.953959787,45.82322611,11.3,16.4,,22.1
13,RHONE,Pusignan,SAINT EXUPERY,FR20048,suburban,Fond,12,2018,5.070377771,45.75485265,16.7,14,,32.1
15,RHONE,Lyon,LYON Centre,FR20062,urban,Fond,12,2018,4.853725888,45.75799123,34.6,,,24.1
17,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,12,2018,4.805142184,45.36778213,23.7,20.6,,22.2
21,LOIRE,Roanne,ROANNE,FR29423,urban,Fond,12,2018,4.074653898,46.04106794,22.8,14.8,,32.8
22,LOIRE,Saint-?Ÿƒ?øtienne,SAINT ETIENNE SUD,FR29424,urban,Fond,12,2018,4.395419639,45.4201064,26.7,13.9,,31.9
39,LOIRE,Saint-Chamond,SAINT-CHAMOND,FR29426,urban,Fond,12,2018,4.514999613,45.47529369,34.1,16.2,,20.8
55,SAVOIE,Chamb?Ÿ??ry,PASTEUR,FR33101,urban,Fond,12,2018,5.928435518,45.56462103,24.6,15.6,,18.9
24,SAVOIE,Chamb?Ÿ??ry,CHAMBERY LE HAUT,FR33102,urban,Fond,12,2018,5.918616424,45.59668502,26.6,16.8,,24.6
25,SAVOIE,Saint-Jean-de-Maurienne,SAINT JEAN,FR33111,urban,Fond,12,2018,6.349723082,45.27471893,25.3,19.2,10.2,21.6
26,HAUTE-SAVOIE,Chamonix-Mont-Blanc,CHAMONIX,FR33120,urban,Fond,12,2018,6.869996699,45.92253686,34.7,19.5,,19.2
28,HAUTE-SAVOIE,Annecy,LOVERCHY,FR33201,urban,Fond,12,2018,6.118449775,45.89538066,24.1,19.3,,16
30,HAUTE-SAVOIE,Annemasse,ANNEMASSE,FR33211,urban,Fond,12,2018,6.240562703,46.19584661,27,15.3,,24.8
32,HAUTE-SAVOIE,Passy,PASSY,FR33220,suburban,Fond,12,2018,6.713642902,45.9235436,17.4,28.5,,18.4
33,HAUTE-SAVOIE,Saint-Germain-sur-Rh?Ÿ??ne,St Germain/Rh?Ÿ??ne,FR33302,rural-nearcity,Fond,12,2018,5.820837783,46.07223918,11.2,12.5,0.1,34.5
36,DROME,Valence,Valence Urb. Centre,FR36002,urban,Fond,12,2018,4.893674494,44.93318986,28.5,18,,21.5
