,id_bdqa,nom_site,typologie,influence,adresse,so2_nb_d_3,so2_nb_j_s,no2_nb_h_s,no2_moy_an,nox_moy_an,pm10_moy_a,pm10_nb_j_,pm2_5_moy_,o3_nb_j_ma,o3_aot40,co_nb_moy_,c6h6_moy_a,pb_moy_an,as_moy_an,cd_moy_an,ni_moy_an,bap_moy_an,X,Y,year
37,20029,Sud lyonnais / Feyzin ZI,proximité industrielle,industrielle,Stade Municipal Jean Bouin Rue de la Tuillière 69320 FEYZIN,0,0,0,25,48,23,13,,,,,,,,,,,4.845836121,45.6639401,2014
38,20031,Sud lyonnais / Saint-Fons,proximité industrielle,industrielle,Stade municipal Carnot 64 Rue Carnot 69190 SAINT-FONS,0,0,0,30,54,22,11,,,,,,,,,,,4.864488928,45.70780483,2014
39,20034,Sud lyonnais / Pierre-Bénite,proximité industrielle,industrielle,Groupe Scolaire des Cerisiers Impasse Robert d'Aversa 69310 PIERRE-BENITE,0,0,,,,,,,,,,0.7,,,,,,4.829697995,45.69959302,2014
40,20037,Sud lyonnais / Ternay,périurbaine,fond,Salle Omnisports du Dévès Chemin du Dévès Ouest 69360 TERNAY,,,0,23,36,21,10,,17,17944,,,,,,,,4.802542285,45.60192473,2014
41,20045,Est lyonnais / Genas,périurbaine,fond,"DDE ""Les Grandes Terres"" - Porte du Dauphiné  69740 GENAS",,,,,,,,,21,19915,,,,,,,,4.98054663,45.73188396,2014
42,20046,Est lyonnais / Vaulx en Velin,urbaine,fond,ENTPE 3 Rue Maurice Audin 69120 VAULX-EN-VELIN,,,0,25,41,21,12,13,11,15215,,,,,,,,4.924922674,45.77896618,2014
43,20047,Nord lyonnais / Côtière de l'Ain,périurbaine,fond,Passage de Paravis  1700 MIRIBEL,,,0,18,28,20,7,,6,11997,,,,,,,,4.9539617,45.82328012,2014
44,20048,Est lyonnais / Saint Exupéry,périurbaine,fond,Complexe Sportif  Louis Durand Rue de l'Egalité 69330 PUSIGNAN,,,0,14,19,20,9,,17,20162,,,,,,,,5.072299004,45.75358327,2014
45,20049,Haut-Beaujolais,rurale régionale,fond,Le Bourg Derrière l'église 69170 DIEME,,,0,3,4,,,,6,15262,,,,,,,,4.46571625,45.96147357,2014
46,20060,Sud lyonnais / Vénissieux,proximité industrielle,industrielle,Groupe Scolaire du Centre 43 Boulevard Laurent Gérin 69200 VENISSIEUX,,,,,,,,,,,,,8,0.6,0.2,2,,4.883641896,45.70393737,2014
47,20061,Villefranche Village,urbaine,fond,330 - rue des Jardiniers  69400 VILLEFRANCHE-SUR-SAONE,,,0,30,55,21,8,13,2,8180,,,,,,,,4.719287515,45.98644081,2014
48,20062,Lyon Centre,urbaine,fond,20 rue du Lac  69003 LYON,0,0,0,30,47,21,11,14,9,15277,,,7.1,0.5,0.2,1.9,,4.853725888,45.75799123,2014
49,20063,Lyon Periphérique Est,proximité trafic,trafic,Boulevard périphérique Laurent Bonnevay  69500 BRON,,,10,54,136,26,22,,,,,,,,,,,4.896150838,45.72832693,2014
50,20064,Vernaison ZI,proximité industrielle,industrielle,Parking du Port Perret  69390 VERNAISON,,,,,,,,,,,,0.5,,,,,,4.816905997,45.65061161,2014
51,20065,Lyon - Tunnel Croix-Rousse - Sortie Rhône,proximité trafic,trafic,"Ecole Michel Servet 4, rue Alsace Lorraine 69001 LYON",,,,,,26,15,19,,,,,,,,,,4.836938611,45.77247945,2014
52,27002,Roussillon,urbaine,fond,Lycée de l'Edit 24 Avenue du Lycée 38150 ROUSSILLON,,,0,29,53,23,14,,1,8288,,0.6,,,,,,4.805143352,45.36781814,2014
53,27003,Les Roches de Condrieu ZI,proximité industrielle,industrielle,"Stade des roches ""SIGIS"" Rue de Champagnole 38370 LES ROCHES-DE-CONDRIEU",5,0,0,21,36,,,,10,14834,,,,,,,,4.76653624,45.45457482,2014
54,27004,Vienne Centre,urbaine,fond,Place de l'Hôtel de Ville  Francois Mitterrand  38200 VIENNE,,,0,22,40,24,16,,,,,,,,,,,4.875411685,45.52602688,2014
55,27005,Sud roussillonnais / Sablons,périurbaine,fond,Place du champ de Foire Le Bourg Rue du Dauphiné 38550 SABLONS,,,0,13,20,,,,24,21714,,,,,,,,4.770676158,45.32184864,2014
56,27007,Bourgoin Jallieu,urbaine,fond,I.F.P.A.C. - Champfleuri  38300 BOURGOIN-JALLIEU,,,0,16,24,16,5,,8,14235,,,,,,,,5.270870484,45.60827983,2014
57,27008,A7 Nord-Isere,proximité trafic,trafic,Proximité A7  38150 SALAISE-SUR-SANNE,,,0,49,130,21,10,16,,,,0.5,,,,,,4.804823931,45.35324122,2014
