gid,nom_dept,nom_com,nom_station,code_station,typologie,influence,mois,annee,X,Y,no2,pm10,s02,ozone
37,PUY-DE-DOME,Clermont-Ferrand,Montferrand,FR07004,urban,Fond,1,2018,3.113828888,45.79729717,21.2,,,41.6
38,PUY-DE-DOME,Clermont-Ferrand,Jardin Lecoq,FR07009,urban,Fond,1,2018,3.087501101,45.77219697,23.2,8.2,,46.5
51,ISERE,Saint-Martin-d'H?Ÿ??res,St Martin dHeres,FR15038,urban,Fond,1,2018,5.75310114,45.18279644,38.4,14.7,,19
4,ISERE,Grenoble,Grenoble Les Frenes,FR15043,urban,Fond,1,2018,5.735603366,45.16187407,30.8,16.2,1.3,23.5
7,RHONE,Lyon,GERLAND,FR20017,urban,Fond,1,2018,4.829800054,45.73532325,32.9,14.7,,30.7
8,RHONE,Ternay,TERNAY,FR20037,suburban,Fond,1,2018,4.802195719,45.60192128,23,14.4,,36.4
9,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,1,2018,4.924700509,45.77887089,24,13.8,,28.4
10,AIN,Miribel,COTIERE AIN,FR20047,suburban,Fond,1,2018,4.953959787,45.82322611,9.9,12.8,,34.3
11,RHONE,Pusignan,SAINT EXUPERY,FR20048,suburban,Fond,1,2018,5.070377771,45.75485265,15.5,11.6,,39
13,RHONE,Lyon,LYON Centre,FR20062,urban,Fond,1,2018,4.853725888,45.75799123,31,14,,28.7
15,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,1,2018,4.805142184,45.36778213,27.4,20.1,,32.5
20,LOIRE,Roanne,ROANNE,FR29423,urban,Fond,1,2018,4.074653898,46.04106794,20.2,9.7,,41.1
21,LOIRE,Saint-?Ÿƒ?øtienne,SAINT ETIENNE SUD,FR29424,urban,Fond,1,2018,4.395419639,45.4201064,21.7,8.6,,41.3
22,LOIRE,Saint-Chamond,SAINT-CHAMOND,FR29426,urban,Fond,1,2018,4.514999613,45.47529369,31.6,10,,31.4
24,SAVOIE,Chamb?Ÿ??ry,PASTEUR,FR33101,urban,Fond,1,2018,5.928435518,45.56462103,27,14.1,,27.5
112,SAVOIE,Chamb?Ÿ??ry,CHAMBERY LE HAUT,FR33102,urban,Fond,1,2018,5.918616424,45.59668502,22.4,15.6,,67
53,SAVOIE,Saint-Jean-de-Maurienne,SAINT JEAN,FR33111,urban,Fond,1,2018,6.349723082,45.27471893,25.9,14.4,10.5,29.4
25,HAUTE-SAVOIE,Chamonix-Mont-Blanc,CHAMONIX,FR33120,urban,Fond,1,2018,6.869996699,45.92253686,38.8,15,,28.4
27,HAUTE-SAVOIE,Annecy,LOVERCHY,FR33201,urban,Fond,1,2018,6.118449775,45.89538066,28.4,18.7,,26.8
29,HAUTE-SAVOIE,Annemasse,ANNEMASSE,FR33211,urban,Fond,1,2018,6.240562703,46.19584661,22.6,14.3,,30.2
31,HAUTE-SAVOIE,Passy,PASSY,FR33220,suburban,Fond,1,2018,6.713642902,45.9235436,27.2,28.7,,23.1
32,HAUTE-SAVOIE,Saint-Germain-sur-Rh?Ÿ??ne,St Germain/Rh?Ÿ??ne,FR33302,rural-nearcity,Fond,1,2018,5.820837783,46.07223918,9.9,15.1,0.7,46.8
34,DROME,Valence,Valence Urb. Centre,FR36002,urban,Fond,1,2018,4.893674494,44.93318986,30.1,15,,29.4
