gid,nom_dept,nom_com,nom_station,code_station,typologie,influence,mois,annee,X,Y,no2,pm10,s02,ozone
34,PUY-DE-DOME,Clermont-Ferrand,Montferrand,FR07004,urban,Fond,7,2018,3.113828888,45.79729717,14.7,,,79.3
35,PUY-DE-DOME,Clermont-Ferrand,Jardin Lecoq,FR07009,urban,Fond,7,2018,3.087501101,45.77219697,13.8,16.4,,85
3,ISERE,Saint-Martin-d'H?Ÿ??res,St Martin dHeres,FR15038,urban,Fond,7,2018,5.75310114,45.18279644,14.6,20.9,,90.4
86,ISERE,Grenoble,Grenoble Les Frenes,FR15043,urban,Fond,7,2018,5.735603366,45.16187407,12.4,17.5,0.2,67.56666667
5,RHONE,Lyon,GERLAND,FR20017,urban,Fond,7,2018,4.829800054,45.73532325,20.5,20.3,,77.8
6,RHONE,Ternay,TERNAY,FR20037,suburban,Fond,7,2018,4.802195719,45.60192128,16.2,19.2,,87.1
7,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,7,2018,4.924700509,45.77887089,12.9,13.96666667,,84.1
8,AIN,Miribel,COTIERE AIN,FR20047,suburban,Fond,7,2018,4.953959787,45.82322611,10.1,13.2,,98.9
76,RHONE,Pusignan,SAINT EXUPERY,FR20048,suburban,Fond,7,2018,5.070377771,45.75485265,9.1,16.5,,87.5
10,RHONE,Lyon,LYON Centre,FR20062,urban,Fond,7,2018,4.853725888,45.75799123,17.5,19.3,,89.7
12,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,7,2018,4.805142184,45.36778213,17,21.9,,84.5
16,LOIRE,Roanne,ROANNE,FR29423,urban,Fond,7,2018,4.074653898,46.04106794,14,12,,78.9
17,LOIRE,Saint-?Ÿƒ?øtienne,SAINT ETIENNE SUD,FR29424,urban,Fond,7,2018,4.395419639,45.4201064,10.6,15.1,,87.1
18,LOIRE,Saint-Chamond,SAINT-CHAMOND,FR29426,urban,Fond,7,2018,4.514999613,45.47529369,17.7,13.3,,83.1
20,SAVOIE,Chamb?Ÿ??ry,PASTEUR,FR33101,urban,Fond,7,2018,5.928435518,45.56462103,11.9,12.9,,92.1
21,SAVOIE,Chamb?Ÿ??ry,CHAMBERY LE HAUT,FR33102,urban,Fond,7,2018,5.918616424,45.59668502,8.7,15.4,,101
22,SAVOIE,Saint-Jean-de-Maurienne,SAINT JEAN,FR33111,urban,Fond,7,2018,6.349723082,45.27471893,6.9,19.4,4.8,86.6
23,HAUTE-SAVOIE,Chamonix-Mont-Blanc,CHAMONIX,FR33120,urban,Fond,7,2018,6.869996699,45.92253686,14.3,15.2,,74.1
25,HAUTE-SAVOIE,Annecy,LOVERCHY,FR33201,urban,Fond,7,2018,6.118449775,45.89538066,18.2,17.6,,81.9
108,HAUTE-SAVOIE,Annemasse,ANNEMASSE,FR33211,urban,Fond,7,2018,6.240562703,46.19584661,9.9,16.8,,45.2
27,HAUTE-SAVOIE,Passy,PASSY,FR33220,suburban,Fond,7,2018,6.713642902,45.9235436,7.6,19.4,,88.6
28,HAUTE-SAVOIE,Saint-Germain-sur-Rh?Ÿ??ne,St Germain/Rh?Ÿ??ne,FR33302,rural-nearcity,Fond,7,2018,5.820837783,46.07223918,4.8,16.8,-0.5,97.8
31,DROME,Valence,Valence Urb. Centre,FR36002,urban,Fond,7,2018,4.893674494,44.93318986,15.8,17.7,,94.6
