,id_bdqa,nom_site,typologie,influence,adresse,so2_nb_d_3,so2_nb_j_s,no2_nb_h_s,no2_moy_an,nox_moy_an,pm10_moy_a,pm10_nb_j_,pm2_5_moy_,o3_nb_j_ma,o3_aot40,co_nb_moy_,c6h6_moy_a,pb_moy_an,as_moy_an,cd_moy_an,ni_moy_an,bap_moy_an,X,Y
0,7001,Royat,périurbaine,fond,"8 Avenue Louis Pasteur, 63130 ROYAT",,,0,12,18,,,,31,20879,,,,,,,,3.047192684,45.76466592
1,7004,Montferrand,urbaine,fond,"Rue Gustave Courbet, 63000 CLERMONT-FERRAND",,,0,24,44,18,3,12,20,17969,,,,,,,,3.113828851,45.79727916
2,7009,Clermont - Jardin Lecoq,urbaine,fond,"Jardin Lecoq, 63000 CLERMONT-FERRAND",,,0,23,42,17,4,,15,14203,,,,,,,,3.087501058,45.77216995
3,7010,Montluçon - Centre,proximité trafic,trafic,"Place Louis Bavay, 03100 MONTLUCON",,,0,25,52,20,3,,,,,,,,,,,2.598136589,46.34371922
4,7011,Aurillac - Centre,proximité trafic,trafic,"95 Avenue de la République, 15000 AURILLAC",,,0,31,,16,1,,,,,,,,,,,2.436638464,44.92322084
5,7012,Le Puy en velais - Centre,urbaine,fond,"Ecole Jules Ferry, 43000 LE PUY EN VELAY",,,0,19,,,,,8,15009,,,,,,,,3.882671542,45.04471809
6,7013,Montlucon Château,urbaine,fond,"Esplanade du château, 03100 MONTLUCON",,,0,13,18,,,,19,14536,,,,,,,,2.604586073,46.34008581
7,7017,Aurillac - Mairie,urbaine,fond,"Mairie 14 rue de la Coste, 15000 AURILLAC",,,0,11,,,,,10,13327,,,,,,,,2.445163491,44.93133111
8,7022,Paray-le-Fresil,rurale régionale,fond,"Stade, 03230 PARAY LE FRESIL",,,0,4,5,12,3,9,26,17475,,,,,,,,3.600672372,46.65266263
9,7032,Riom,urbaine,fond,"Rue de l'intendance d'Auvergne, 63200 RIOM",,,0,17,26,,,,11,12982,,,,,,,,3.115060644,45.89419792
10,7034,Clermont - Esplanade de la gare,proximité trafic,trafic,"Esplanade de la gare, 63000 CLERMONT-FERRAND",,,0,42,97,19,6,13,,,,,,,,,,3.096244436,45.77569276
11,7039,Chamalières,proximité trafic,trafic,"Avenue de Fontmaure,63400 CHAMALIERES",,,0,34,80,,,,,,,,,,,,,3.062977994,45.77477972
12,7042,Autoroute A71,proximité trafic,trafic,Bordure Autoroute A71 PR 387.5 sens Clermont-Bourg,,,0,38,80,20,4,,,,,,,,,,,3.142720876,45.78369393
13,7043,Le Puy - Coiffier,urbaine,fond,"Square Coiffier, 43000 LE PUY EN VELAY",,,,,,,,,,,,,,,,,,3.888802205,45.04285945
14,7045,Issoire (école),urbaine,fond,Notre Dame du Ponteil  63500 ISSOIRE,,,0,15,24,13,2,,13,15413,,,,,,,,3.248218354,45.54544059
15,7048,Villeneuve-sur-Allier,proximité trafic,trafic,Route de Paris  03460 VILLENEUVE-SUR-ALLIER,,,0,55,187,,,,,,,,,,,,,3.249300587,46.65905227
16,7049,Moulins,urbaine,fond,Place Marechal de Lattre de Tassigny 03000 MOULINS,,,0,17,25,,,,15,12319,,,,,,,,3.331085686,46.56185903
17,7051,Beaulieu - Vernea,proximité industrielle,industrielle,Chemin du petit Gandaillat 63000 CLERMONT-FERRAND,,,,,,,,,,,,,,,,,,3.15619163,45.76838576
18,7052,Aurillac - LAGARDE,urbaine,fond,Henry Dunant 15000 AURILLAC,,,,,,,,,,,,,,,,,,2.441080074,44.92008295
19,7053,Clermont - Edouard Michelin,proximité trafic,trafic,"98, Avenue Edouard Michelin 63000 CLERMONT-FERRAND",,,,,,,,,,,,,,,,,,3.111580513,45.78041521
20,7054,Le Puy - Causans,urbaine,fond,"Stade Le Causans - Rue de la Fonderie, 43000 LE PUY EN VELAY",,,,,,,,,,,,,,,,,,3.886693146,45.03880626
21,15013,Sud grenoblois / Champ sur Drac,périurbaine,fond,École des Gonnardières 24 chemin des Gonnardières 38560 CHAMP-SUR-DRAC,,,0,19,31,,,,48,29050,,,,,,,,5.728653983,45.07959915
22,15017,Fontaine les Balmes,urbaine,fond,31 bis Avenue Lénine  38600 FONTAINE,,,0,24,40,22,2,,32,20042,,,,,,,,5.686971398,45.19049841
23,15018,Voiron Urbain,urbaine,fond,Rue de Maubec  38500 VOIRON,,,0,17,30,21,2,,43,24427,,,,,,,,5.589443331,45.36001372
24,15038,Saint-Martin d'Heres,urbaine,fond,Parc Daniel Casanova Avenue Benoît Frachon 38400 SAINT-MARTIN-D'HERES,,,0,29,60,19,2,,43,24906,,,,,,,,5.753252647,45.18302696
25,15039,Grenoble Rocade Sud,proximité trafic,trafic,Face au  23 - Chemin du Tremblay  38130 ECHIROLLES,,,0,52,139,31,21,20,,,,,,,,,,5.703764952,45.15842477
26,15043,Grenoble les Frenes,urbaine,fond,Ecole Maternelle Les Frênes 1 allée de la Pelouse 38100 GRENOBLE,0,0,0,22,45,23,5,16,24,16560,,,,,,5,,5.735824383,45.16170648
27,15045,Sud grenoblois / Vif,périurbaine,fond,Allée traversière  38450 VIF,,,0,16,22,17,2,,46,28288,,,,,,,,5.676897768,45.05803473
28,15046,Grenoble Grands Boulevards,proximité trafic,trafic,48-50 Boulevard Foch  38000 GRENOBLE,,,9,51,138,28,24,,,,,,,,,,,5.720630177,45.18075469
29,15048,Est grenoblois / Grésivaudan,périurbaine,fond,Rue Léo Lagrange  38190 CROLLES,,,0,19,35,22,4,,30,21444,,,,,,,,5.882398642,45.27996926
30,20004,Lyon Saint-Just,urbaine,fond,Ecole Mathilde Siraud 5 Place Abbé Larue 69005 LYON,,,0,31,55,,,,24,20104,,,,,,,,4.820337324,45.75537349
31,20013,A7 Sud lyonnais,proximité trafic,trafic,Face au 25 ter - Quai Pierre Sémard  (au bord de l'A7)  69350 LA MULATIERE,,,24,73,193,33,39,22,,,,,,,,,,4.818159756,45.72008214
32,20017,Lyon Gerland,urbaine,fond,Groupe Scolaire Claudius Berthelier 181 Rue Marcel Mérieux 69007 LYON,,,1,34,68,27,30,,17,18034,,,,,,,,4.829800947,45.73535025
33,20019,Villeurbanne Place Grandclément,proximité trafic,trafic,Maison Berthy Albrecht 14 Place Jules Grand Clément 69100 VILLEURBANNE,,,3,42,99,24,25,,,,,,,,,,,4.8862195,45.75841628
34,20029,Sud lyonnais / Feyzin ZI,proximité industrielle,industrielle,Stade Municipal Jean Bouin Rue de la Tuillière 69320 FEYZIN,0,0,0,28,53,26,15,,,,,,,,,,,4.845836121,45.6639401
35,20031,Sud lyonnais / Saint-Fons,proximité industrielle,industrielle,Stade municipal Carnot 64 Rue Carnot 69190 SAINT-FONS,0,0,0,30,56,26,19,,,,,,,,,,,4.864488928,45.70780483
