gid,nom_dept,nom_com,nom_station,code_station,typologie,influence,mois,annee,X,Y,no2,pm10,s02,ozone
36,PUY-DE-DOME,Clermont-Ferrand,Montferrand,FR07004,urban,Fond,4,2018,3.113828888,45.79729717,15.2,,,71.5
37,PUY-DE-DOME,Clermont-Ferrand,Jardin Lecoq,FR07009,urban,Fond,4,2018,3.087501101,45.77219697,15,12.6,,77.3
4,ISERE,Saint-Martin-d'H?Ÿ??res,St Martin dHeres,FR15038,urban,Fond,4,2018,5.75310114,45.18279644,16.7,18.4,,67.1
87,ISERE,Grenoble,Grenoble Les Frenes,FR15043,urban,Fond,4,2018,5.735603366,45.16187407,14.6,17,-0.2,47.6
6,RHONE,Lyon,GERLAND,FR20017,urban,Fond,4,2018,4.829800054,45.73532325,25.7,16,,66.7
7,RHONE,Ternay,TERNAY,FR20037,suburban,Fond,4,2018,4.802195719,45.60192128,15.6,17.3,,70.7
8,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,4,2018,4.924700509,45.77887089,21.3,15.8,,73.6
9,AIN,Miribel,COTIERE AIN,FR20047,suburban,Fond,4,2018,4.953959787,45.82322611,14.9,14.6,,75.2
10,RHONE,Pusignan,SAINT EXUPERY,FR20048,suburban,Fond,4,2018,5.070377771,45.75485265,9.6,14.7,,87.5
12,RHONE,Lyon,LYON Centre,FR20062,urban,Fond,4,2018,4.853725888,45.75799123,20.9,18,,79.6
14,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,4,2018,4.805142184,45.36778213,20.5,19.7,,68.3
19,LOIRE,Roanne,ROANNE,FR29423,urban,Fond,4,2018,4.074653898,46.04106794,14.3,10.6,,72.6
20,LOIRE,Saint-?Ÿƒ?øtienne,SAINT ETIENNE SUD,FR29424,urban,Fond,4,2018,4.395419639,45.4201064,13.2,13.7,,78.9
21,LOIRE,Saint-Chamond,SAINT-CHAMOND,FR29426,urban,Fond,4,2018,4.514999613,45.47529369,21.1,12.1,,72.8
53,SAVOIE,Chamb?Ÿ??ry,PASTEUR,FR33101,urban,Fond,4,2018,5.928435518,45.56462103,20,13.8,,64.1
23,SAVOIE,Chamb?Ÿ??ry,CHAMBERY LE HAUT,FR33102,urban,Fond,4,2018,5.918616424,45.59668502,11.7,15,,77.3
109,SAVOIE,Saint-Jean-de-Maurienne,SAINT JEAN,FR33111,urban,Fond,4,2018,6.349723082,45.27471893,4.2,13.6,6,64.7
24,HAUTE-SAVOIE,Chamonix-Mont-Blanc,CHAMONIX,FR33120,urban,Fond,4,2018,6.869996699,45.92253686,16.8,13.8,,84.4
26,HAUTE-SAVOIE,Annecy,LOVERCHY,FR33201,urban,Fond,4,2018,6.118449775,45.89538066,22.5,21.2,,57.9
28,HAUTE-SAVOIE,Annemasse,ANNEMASSE,FR33211,urban,Fond,4,2018,6.240562703,46.19584661,18.4,18.2,,71.7
30,HAUTE-SAVOIE,Passy,PASSY,FR33220,suburban,Fond,4,2018,6.713642902,45.9235436,11,17.7,,75.2
31,HAUTE-SAVOIE,Saint-Germain-sur-Rh?Ÿ??ne,St Germain/Rh?Ÿ??ne,FR33302,rural-nearcity,Fond,4,2018,5.820837783,46.07223918,5.3,14.1,0.9,81.5
33,DROME,Valence,Valence Urb. Centre,FR36002,urban,Fond,4,2018,4.893674494,44.93318986,17.9,15.6,,72
