gid,nom_dept,nom_com,nom_station,code_station,typologie,influence,mois,annee,X,Y,no2,pm10,s02,ozone
34,PUY-DE-DOME,Clermont-Ferrand,Montferrand,FR07004,urban,Fond,6,2018,3.113828888,45.79729717,14,,,63.1
35,PUY-DE-DOME,Clermont-Ferrand,Jardin Lecoq,FR07009,urban,Fond,6,2018,3.087501101,45.77219697,12.6,12.3,,65.4
105,ISERE,Saint-Martin-d'H?Ÿ??res,St Martin dHeres,FR15038,urban,Fond,6,2018,5.75310114,45.18279644,12.4,16,,70
85,ISERE,Grenoble,Grenoble Les Frenes,FR15043,urban,Fond,6,2018,5.735603366,45.16187407,9.9,14.8,-1,59.83333333
6,RHONE,Lyon,GERLAND,FR20017,urban,Fond,6,2018,4.829800054,45.73532325,14.8,16.1,,64.2
7,RHONE,Ternay,TERNAY,FR20037,suburban,Fond,6,2018,4.802195719,45.60192128,12.1,15.9,,69.7
8,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,6,2018,4.924700509,45.77887089,10.1,12.1,,68.3
61,AIN,Miribel,COTIERE AIN,FR20047,suburban,Fond,6,2018,4.953959787,45.82322611,9.4,9.8,,86.35
75,RHONE,Pusignan,SAINT EXUPERY,FR20048,suburban,Fond,6,2018,5.070377771,45.75485265,7.3,12.7,,89.8
10,RHONE,Lyon,LYON Centre,FR20062,urban,Fond,6,2018,4.853725888,45.75799123,17.1,16.3,,71.6
12,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,6,2018,4.805142184,45.36778213,12.6,18.9,,73.5
16,LOIRE,Roanne,ROANNE,FR29423,urban,Fond,6,2018,4.074653898,46.04106794,12.7,10.3,,62.8
17,LOIRE,Saint-?Ÿƒ?øtienne,SAINT ETIENNE SUD,FR29424,urban,Fond,6,2018,4.395419639,45.4201064,11,12.5,,67.1
18,LOIRE,Saint-Chamond,SAINT-CHAMOND,FR29426,urban,Fond,6,2018,4.514999613,45.47529369,16.2,10.6,,64.5
20,SAVOIE,Chamb?Ÿ??ry,PASTEUR,FR33101,urban,Fond,6,2018,5.928435518,45.56462103,11.2,11.6,,69.9
21,SAVOIE,Chamb?Ÿ??ry,CHAMBERY LE HAUT,FR33102,urban,Fond,6,2018,5.918616424,45.59668502,6.8,13.1,,79.1
108,SAVOIE,Saint-Jean-de-Maurienne,SAINT JEAN,FR33111,urban,Fond,6,2018,6.349723082,45.27471893,3.2,17.4,3.5,57.4
22,HAUTE-SAVOIE,Chamonix-Mont-Blanc,CHAMONIX,FR33120,urban,Fond,6,2018,6.869996699,45.92253686,10.3,13.9,,70
23,HAUTE-SAVOIE,Annecy,LOVERCHY,FR33201,urban,Fond,6,2018,6.118449775,45.89538066,11.2,14.9,,65.5
25,HAUTE-SAVOIE,Annemasse,ANNEMASSE,FR33211,urban,Fond,6,2018,6.240562703,46.19584661,9.4,14.3,,83.1
27,HAUTE-SAVOIE,Passy,PASSY,FR33220,suburban,Fond,6,2018,6.713642902,45.9235436,5.4,17.6,,74.1
28,HAUTE-SAVOIE,Saint-Germain-sur-Rh?Ÿ??ne,St Germain/Rh?Ÿ??ne,FR33302,rural-nearcity,Fond,6,2018,5.820837783,46.07223918,4.2,13.7,-0.2,77.4
31,DROME,Valence,Valence Urb. Centre,FR36002,urban,Fond,6,2018,4.893674494,44.93318986,12,16,,76.4
