,id_bdqa,nom_site,typologie,influence,adresse,so2_nb_d_3,so2_nb_j_s,no2_nb_h_s,no2_moy_an,nox_moy_an,pm10_moy_a,pm10_nb_j_,pm2_5_moy_,o3_nb_j_ma,o3_aot40,co_nb_moy_,c6h6_moy_a,pb_moy_an,as_moy_an,cd_moy_an,ni_moy_an,bap_moy_an,X,Y
56,27007,Bourgoin Jallieu,urbaine,fond,I.F.P.A.C. - Champfleuri  38300 BOURGOIN-JALLIEU,,,0,16,25,19,5,,10,9872,,,,,,,,5.270870484,45.60827983
57,27008,A7 Nord-Isere,proximité trafic,trafic,Proximité A7  38150 SALAISE-SUR-SANNE,,,0,50,112,20,15,15,,,,0.6,,,,,,4.804823931,45.35324122
58,27010,Plateau de Bonnevaux,rurale régionale,fond,Le Grand Mollard 38440 LIEUDIEU,,,0,5,6,,,,26,17551,,,,,,,,5.181077552,45.46090006
59,29423,Roanne,urbaine,fond,Rue Gilbertes  42300 ROANNE,,,0,20,39,15,1,,6,7002,,,,,,,,4.07465777,46.04126603
60,29424,Saint-Etienne Sud,urbaine,fond,Place Préher  42000 SAINT-ETIENNE,0,0,0,20,29,17,2,9,14,9811,,,4.5,1.5,0.1,1.3,,4.395420543,45.42014241
61,29426,Est stéphanois / Saint-Chamond,urbaine,fond,8 Rue Dugas Montbel  42400 SAINT-CHAMOND,,,0,28,52,20,8,13,12,9466,,,,,,,,4.515002069,45.47538372
62,29428,N88 Saint-Etienne,proximité trafic,trafic,7 Rue Ernest Renan  42000 SAINT-ETIENNE,,,0,36,73,18,2,10,,,,,,,,,,4.412784466,45.42205037
63,29429,A47 Vallée du Gier,proximité trafic,trafic,Rue Michelet  42800 RIVE-DE-GIER,,,0,40,90,22,15,,,,,,,,,,,4.623939552,45.5334837
64,29439,Est Stéphanois / La Talaudière,périurbaine,fond,19 rue Romain Rolland  42350 LA TALAUDIERE,,,0,17,28,17,5,,30,15149,,,,,,,,4.429905721,45.48160671
65,29440,Col de l'Oeillon,rurale régionale,fond,42520 ROISEY,,,0,3,4,,,,34,15434,,,,,,,,4.615814688,45.38957782
66,29441,St-Etienne Boulevard Urbain,proximité trafic,trafic,24 boulevard Jules Janin - 42000 Saint-Etienne,,,0,35,75,21,13,,,,,,,,,,,4.388762583,45.44798151
67,33101,Chambéry Pasteur,urbaine,fond,square Pasteur Rue de Plaisance 73000 CHAMBERY,,,0,25,43,20,2,16,5,8331,,,,,,,,5.928433617,45.56458503
68,33102,Chambery le Haut,urbaine,fond,Rue du Grand Champ  73000 CHAMBERY,,,0,18,27,17,1,,21,12830,,,,,,,,5.918673386,45.59679167
