,gid,nom_dept,nom_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,validite,validation,ESRI_OID,mois,annee,X,Y
452,44,HAUTE-SAVOIE,Passy,PASSY,FR33220,suburban,Fond,Particules PM10,5,30.1,ug.m-3,mensuel,1,1,223298,11,2018,6.713642902,45.9235436
453,98,LOIRE,Saint-Ã‰tienne,COUBERTIN,FR29421,suburban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222634,6,2018,4.389781793,45.46673742
454,11,SAVOIE,ChambÃ©ry,PASTEUR,FR33101,urban,Fond,Particules PM10,5,15.6,ug.m-3,mensuel,1,1,223421,12,2018,5.928435518,45.56462103
455,76,RHONE,Villeurbanne,CROIX LUIZET,FR20020,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222757,7,2018,4.894029845,45.77641745
456,39,HAUTE-SAVOIE,Gaillard,GAILLARD,FR33212,urban,Fond,Particules PM10,5,13.7,ug.m-3,mensuel,1,1,222525,5,2018,6.214856591,46.19369277
457,44,HAUTE-SAVOIE,Annemasse,ANNEMASSE,FR33211,urban,Fond,Particules PM10,5,13.7,ug.m-3,mensuel,1,1,222857,8,2018,6.240562703,46.19584661
458,118,CANTAL,Aurillac,Aurillac Centre,FR07011,urban,Trafic,Particules PM10,5,,ug.m-3,mensuel,0,0,223106,10,2018,2.436778768,44.92313152
459,35,HAUTE-SAVOIE,Chamonix-Mont-Blanc,CHAMONIX,FR33120,urban,Fond,Particules PM10,5,17.6,ug.m-3,mensuel,1,1,223118,10,2018,6.869996699,45.92253686
460,99,DROME,Valence,A7 Valence Ouest,FR36029,urban,Trafic,Particules PM10,5,,ug.m-3,mensuel,0,0,222122,2,2018,4.889795081,44.94298255
461,99,ARDECHE,Annonay,ANNONAY,FR36025,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222371,4,2018,4.725826577,45.24276067
462,10,RHONE,Villeurbanne,GRANDCLEMENT,FR20019,urban,Trafic,Particules PM10,5,17.6,ug.m-3,mensuel,1,1,222774,7,2018,4.886217349,45.75835327
463,75,RHONE,Villeurbanne,CROIX LUIZET,FR20020,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,223367,12,2018,4.894029845,45.77641745
464,12,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,Particules PM10,5,19,ug.m-3,mensuel,1,1,223450,12,2018,4.924700509,45.77887089
465,73,SAVOIE,Grignon,Grignon,FR33115,suburban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222170,2,2018,6.37692949,45.65117807
466,119,SAVOIE,Saint-Julien-Mont-Denis,St Julien Montdenis,FR33112,urban,Trafic,Particules PM10,5,,ug.m-3,mensuel,0,0,222465,4,2018,6.412227165,45.2492148
467,57,ALLIER,MontluÃ§on,MontluÃ§on,FR07058,urban,Fond,Particules PM10,5,9.9,ug.m-3,mensuel,1,1,222680,6,2018,2.593946169,46.34070576
468,103,PUY-DE-DOME,Clermont-Ferrand,Gaillard,FR07007,urban,Trafic,Particules PM10,5,,ug.m-3,mensuel,0,0,223012,9,2018,3.082777891,45.78030494
469,109,RHONE,Lyon,BERTHELOT,FR20002,urban,Trafic,Particules PM10,5,,ug.m-3,mensuel,0,0,222133,2,2018,4.83609939,45.74684026
470,88,AIN,Oyonnax,Oyonnax Piscine,FR33307,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222076,1,2018,5.641944608,46.25404262
471,89,LOIRE,Saint-Ã‰tienne,ST ETIENNE ROND PT,FR29428,urban,Trafic,Particules PM10,5,,ug.m-3,mensuel,0,0,223072,9,2018,4.412835605,45.42204972
472,24,RHONE,Villeurbanne,Lyon PÃ©riphÃ©rique,FR20069,urban,Trafic,Particules PM10,5,26.4,ug.m-3,mensuel,1,1,223404,12,2018,4.898570079,45.77480986
473,94,AIN,Ferney-Voltaire,Ferney-Voltaire,FR33303,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222763,7,2018,6.112505597,46.25583976
474,70,CANTAL,Rageade,Rageade,FR07031,rural-regional,Fond,Particules PM10,5,12.8,ug.m-3,mensuel,1,1,223058,9,2018,3.277361408,45.10473936
475,22,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,Particules PM10,5,20.1,ug.m-3,mensuel,1,1,222087,1,2018,4.805142184,45.36778213
476,27,LOIRE,La TalaudiÃ¨re,LA TALAUDIERE,FR29439,suburban,Fond,Particules PM10,5,13.6,ug.m-3,mensuel,1,1,222419,4,2018,4.429667882,45.48181688
477,19,RHONE,Lyon 7e Arrondissement,LYON TRAFIC JAURES,FR20070,urban,Trafic,Particules PM10,5,21.5,ug.m-3,mensuel,1,1,222431,4,2018,4.84438932,45.7496774
478,100,HAUTE-SAVOIE,Chamonix-Mont-Blanc,BOSSONS,FR33232,urban,Trafic,Particules PM10,5,,ug.m-3,mensuel,0,0,222866,8,2018,6.845874462,45.90713191
479,89,PUY-DE-DOME,Clermont-Ferrand,Centre Ville,FR07003,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,223358,12,2018,3.083334107,45.77364091
480,77,ARDECHE,Aubenas,Aubenas_belvedere,FR36022,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222617,6,2018,4.384983021,44.62229272
481,46,DROME,Saint-Nazaire-le-DÃ©sert,DrÃ´me Rurale Sud-SND,FR36021,rural-remote,Fond,Particules PM10,5,5.1,ug.m-3,mensuel,1,1,222273,3,2018,5.278976936,44.56946865
482,92,ISERE,Fontaine,Fontaine Les Balmes,FR15017,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222279,3,2018,5.686968799,45.19044442
483,74,RHONE,Lyon,ETATS UNIS,FR20016,urban,Trafic,Particules PM10,5,,ug.m-3,mensuel,0,0,222030,1,2018,4.859768259,45.73870604
484,101,HAUTE-SAVOIE,Thonon-les-Bains,THONON les Bains,FR33260,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222225,2,2018,6.484725919,46.37448041
485,109,AIN,Bourg-en-Bresse,Bourg en Bresse,FR33301,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222379,4,2018,5.224747544,46.21224601
486,81,DROME,Valence,Valence Urb. Centre,FR36002,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222717,6,2018,4.893674494,44.93318986
487,91,ISERE,Lans-en-Vercors,Lans-en-Vercors,FR15051,rural-regional,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,221930,12,2017,5.584557513,45.09853924
488,92,ISERE,Grenoble,Grenoble Caserne de Bonne,FR15049,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,223264,11,2018,5.725174984,45.18330162
489,59,RHONE,Lyon 1er Arrondissement,Lyon - Tunnel Croix-Rousse - Sortie RhÃ´ne,FR20065,urban,Fond,Particules PM10,5,18.7,ug.m-3,mensuel,1,1,222920,8,2018,4.83693921,45.77249745
490,102,RHONE,Lyon,GARIBALDI,FR20003,urban,Trafic,Particules PM10,5,,ug.m-3,mensuel,0,0,223258,11,2018,4.850295216,45.7681358
491,122,DROME,Pierrelatte,Pierrelatte,FR36027,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222325,3,2018,4.696927446,44.36843787
492,114,PUY-DE-DOME,Riom,Riom PÃ©riurbaine,FR07061,suburban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222571,5,2018,3.122172052,45.89670283
