,gid,nom_dept,nom_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,validite,validation,ESRI_OID,mois,annee,X,Y
0,53,PUY-DE-DOME,Clermont-Ferrand,Beaulieu,FR07051,suburban,Industrielle,Dioxyde d'azote,8,19.6,ug.m-3,mensuel,1,1,273127,2,2018,3.15499665,45.76897272
1,104,PUY-DE-DOME,Clermont-Ferrand,Clermont La Pardieu,FR07035,suburban,Fond,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,273459,4,2018,3.134885151,45.76359562
2,110,HAUTE-LOIRE,Le Puy-en-Velay,Le Puy Coiffier,FR07043,urban,Trafic,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,274123,8,2018,3.888801777,45.04283244
3,37,HAUTE-SAVOIE,Annecy,NOVEL,FR33202,urban,Fond,Dioxyde d'azote,8,21.1,ug.m-3,mensuel,1,1,274455,10,2018,6.135649748,45.9170744
4,125,ISERE,Sablons,Sablons,FR27101,suburban,Fond,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,274787,12,2018,4.777505278,45.32301032
5,8,RHONE,Lyon,GERLAND,FR20017,urban,Fond,Dioxyde d'azote,8,14.8,ug.m-3,mensuel,1,1,273791,6,2018,4.829800054,45.73532325
6,78,CANTAL,Aurillac,Aurillac Centre,FR07011,urban,Trafic,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,273436,4,2018,2.436778768,44.92313152
7,46,HAUTE-SAVOIE,Gaillard,GAILLARD,FR33212,urban,Fond,Dioxyde d'azote,8,7.8,ug.m-3,mensuel,1,1,274100,8,2018,6.214856591,46.19369277
8,134,ALLIER,Moulins,MOULINS,FR07049,urban,Fond,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,274764,12,2018,3.331085522,46.56183202
9,149,ISERE,Champ-sur-Drac,Champ sur Drac,FR15013,suburban,Fond,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,273768,6,2018,5.728650031,45.07951817
10,29,LOIRE,La TalaudiÃ¨re,LA TALAUDIERE,FR29439,suburban,Fond,Dioxyde d'azote,8,16.5,ug.m-3,mensuel,1,1,274432,10,2018,4.429667882,45.48181688
11,72,AIN,TrÃ©voux,VILLEFRANCHE PERIURB,FR20068,suburban,Fond,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,273104,1,2018,4.796107228,45.93627613
12,111,PUY-DE-DOME,Clermont-Ferrand,Delille,FR07008,urban,Fond,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,272841,12,2017,3.094580472,45.78092601
13,127,PUY-DE-DOME,Clermont-Ferrand,Place de Jaude,FR07030,urban,Fond,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,273837,6,2018,3.081883877,45.77625339
14,69,ISERE,Grenoble,Grenoble Caserne de Bonne,FR15049,urban,Fond,Dioxyde d'azote,8,25.2,ug.m-3,mensuel,1,1,273173,2,2018,5.725174984,45.18330162
15,79,ISERE,Salaise-sur-Sanne,SALAISE sur SANNE,FR27001,suburban,Industrielle,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,274169,8,2018,4.803705088,45.35537585
16,139,LOIRE,Veauche,VEAUCHE,FR29427,suburban,Industrielle,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,274501,10,2018,4.298550264,45.56581455
17,15,RHONE,Lyon,LYON Centre,FR20062,urban,Fond,Dioxyde d'azote,8,20.9,ug.m-3,mensuel,1,1,273505,4,2018,4.853725888,45.75799123
18,44,HAUTE-SAVOIE,Chamonix-Mont-Blanc,BOSSONS,FR33232,urban,Trafic,Dioxyde d'azote,8,73.7,ug.m-3,mensuel,1,1,272818,12,2017,6.845874462,45.90713191
19,128,HAUTE-SAVOIE,Les Houches,Les Houches Trafic,FR33241,suburban,Trafic,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,273814,6,2018,6.763099436,45.91893328
20,52,ALLIER,Paray-le-FrÃ©sil,Paray le Fresil,FR07022,rural-regional,Fond,Dioxyde d'azote,8,2.8,ug.m-3,mensuel,1,1,274146,8,2018,3.600672472,46.65267164
21,100,DROME,Bourg-lÃ¨s-Valence,Valence Trafic,FR36003,urban,Trafic,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,274810,12,2018,4.889881256,44.94892516
22,26,LOIRE,Saint-Ã‰tienne,SAINT ETIENNE SUD,FR29424,urban,Fond,Dioxyde d'azote,8,20.6,ug.m-3,mensuel,1,1,274478,10,2018,4.395419639,45.4201064
23,8,RHONE,Villeurbanne,GRANDCLEMENT,FR20019,urban,Trafic,Dioxyde d'azote,8,36.9,ug.m-3,mensuel,1,1,273482,4,2018,4.886217349,45.75835327
24,79,AIN,Miribel,COTIERE AIN,FR20047,suburban,Fond,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,273150,2,2018,4.953959787,45.82322611
25,152,PUY-DE-DOME,Issoire,Issoire Centre,FR07019,urban,Fond,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,273960,7,2018,3.249302584,45.54431259
26,107,ISERE,Champagnier,Champagnier,FR15012,suburban,Industrielle,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,274547,11,2018,5.726999066,45.10928942
27,141,ISERE,Grenoble,Grenoble Foch,FR15006,urban,Trafic,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,273954,7,2018,5.721383085,45.18078138
28,23,ISERE,Lieudieu,Plateau de Bonnevaux,FR27010,rural-regional,Fond,Dioxyde d'azote,8,6.4,ug.m-3,mensuel,1,1,274618,11,2018,5.181077552,45.46090006
