,gid,nom_dept,nom_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,validite,validation,ESRI_OID,mois,annee,X,Y
33,63,RHONE,VÃ©nissieux,VENISSIEUX,FR20043,suburban,Industrielle,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128745,6,2018,4.875699604,45.68998231
34,36,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128158,12,2017,4.805142184,45.36778213
35,48,PUY-DE-DOME,Clermont-Ferrand,Montferrand,FR07004,urban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128991,9,2018,3.113828888,45.79729717
36,37,RHONE,Villefranche-sur-SaÃ´ne,VILLEFRANCHE Village,FR20061,urban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128845,7,2018,4.719285546,45.98637779
37,28,RHONE,Villeurbanne,CROIX LUIZET,FR20020,urban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128304,2,2018,4.894029845,45.77641745
38,64,RHONE,VÃ©nissieux,VENISSIEUX,FR20043,suburban,Industrielle,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128181,12,2017,4.875699604,45.68998231
39,33,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128722,6,2018,4.805142184,45.36778213
40,66,LOIRE,Firminy,FIRMINY,FR29425,urban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128968,9,2018,4.281682417,45.38796299
41,90,ISERE,Livet-et-Gavet,Riouperoux,FR15015,suburban,Industrielle,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128530,4,2018,5.897099405,45.08625696
42,93,SAVOIE,ChambÃ©ry,PASTEUR,FR33101,urban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,129277,12,2018,5.928435518,45.56462103
43,88,ISERE,Le Versoud,Versoud,FR15007,suburban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,129123,10,2018,5.850340053,45.21711641
44,12,RHONE,DiÃ¨me,HAUT BEAUJOLAIS,FR20049,rural-nearcity,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128791,7,2018,4.465714093,45.96139254
45,38,RHONE,Villefranche-sur-SaÃ´ne,VILLEFRANCHE Village,FR20061,urban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128281,1,2018,4.719285546,45.98637779
46,52,RHONE,Caluire-et-Cuire,CALUIRE,FR20023,suburban,Trafic,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128198,1,2018,4.848345018,45.80140495
47,65,LOIRE,Firminy,FIRMINY,FR29425,urban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128874,8,2018,4.281682417,45.38796299
48,90,ISERE,Livet-et-Gavet,Riouperoux,FR15015,suburban,Industrielle,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128436,3,2018,5.897099405,45.08625696
49,88,ISERE,Le Versoud,Versoud,FR15007,suburban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,129217,11,2018,5.850340053,45.21711641
50,56,SAVOIE,Saint-Julien-Mont-Denis,St Julien Montdenis,FR33112,urban,Trafic,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128922,8,2018,6.412227165,45.2492148
51,11,RHONE,DiÃ¨me,HAUT BEAUJOLAIS,FR20049,rural-nearcity,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128885,8,2018,4.465714093,45.96139254
52,54,RHONE,Caluire-et-Cuire,CALUIRE,FR20023,suburban,Trafic,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128104,12,2017,4.848345018,45.80140495
53,76,RHONE,Feyzin,FEYZIN MAIRIE,FR20030,suburban,Industrielle,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128590,5,2018,4.856115043,45.67166154
54,57,SAVOIE,Saint-Julien-Mont-Denis,St Julien Montdenis,FR33112,urban,Trafic,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128828,7,2018,6.412227165,45.2492148
55,78,HAUTE-SAVOIE,Annecy,LOVERCHY,FR33201,urban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128235,1,2018,6.118449775,45.89538066
56,80,RHONE,Lyon,POINT DU JOUR,FR20018,urban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128152,12,2017,4.790200546,45.74856906
57,76,RHONE,Feyzin,FEYZIN MAIRIE,FR20030,suburban,Industrielle,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128496,4,2018,4.856115043,45.67166154
58,93,SAVOIE,ChambÃ©ry,PASTEUR,FR33101,urban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,129183,11,2018,5.928435518,45.56462103
59,40,RHONE,Villefranche-sur-SaÃ´ne,VILLEFRANCHE Village,FR20061,urban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128187,12,2017,4.719285546,45.98637779
60,63,RHONE,VÃ©nissieux,VENISSIEUX,FR20043,suburban,Industrielle,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128839,7,2018,4.875699604,45.68998231
61,38,ISERE,Vienne,Vienne Estressin,FR27102,suburban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,129031,9,2018,4.863904251,45.53975628
62,31,LOIRE,Saint-Ã‰tienne,SAINT ETIENNE SUD,FR29424,urban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128444,3,2018,4.395419639,45.4201064
